,0,1,2,3,4,5,6
95,"SMOTE(random_state=42, sampling_strategy=0.5)","KernelPCA(kernel='poly', n_components=10, n_jobs=8, random_state=42)",KNeighborsClassifier(),{'n_neighbors': 5},0.8487088502592958,0.8265625,0.7937552213868003
96,"SMOTE(random_state=42, sampling_strategy=0.5)","LocallyLinearEmbedding(n_components=10, n_jobs=8, n_neighbors=40,
                       random_state=42)",DecisionTreeClassifier(random_state=42),"{'criterion': 'entropy', 'max_depth': 15}",0.79964101856453,0.8109375,0.5825414230019493
97,"SMOTE(random_state=42, sampling_strategy=0.5)","LocallyLinearEmbedding(n_components=10, n_jobs=8, n_neighbors=40,
                       random_state=42)",AdaBoostClassifier(random_state=42),"{'estimator': RandomForestClassifier(random_state=42), 'n_estimators': 10}",0.9237522793913684,0.828125,0.5860745614035088
98,"SMOTE(random_state=42, sampling_strategy=0.5)","LocallyLinearEmbedding(n_components=10, n_jobs=8, n_neighbors=40,
                       random_state=42)",RandomForestClassifier(random_state=42),"{'criterion': 'entropy', 'max_depth': None}",0.9270859027255332,0.828125,0.6003376496797549
99,"SMOTE(random_state=42, sampling_strategy=0.5)","LocallyLinearEmbedding(n_components=10, n_jobs=8, n_neighbors=40,
                       random_state=42)",BaggingClassifier(random_state=42),"{'estimator': RandomForestClassifier(random_state=42), 'n_estimators': 50}",0.9200146903664705,0.8234375,0.5858570036201615
100,"SMOTE(random_state=42, sampling_strategy=0.5)","LocallyLinearEmbedding(n_components=10, n_jobs=8, n_neighbors=40,
                       random_state=42)",GradientBoostingClassifier(random_state=42),"{'max_depth': 10, 'n_estimators': 50}",0.9129418975524144,0.815625,0.6238774018379282
101,"SMOTE(random_state=42, sampling_strategy=0.5)","LocallyLinearEmbedding(n_components=10, n_jobs=8, n_neighbors=40,
                       random_state=42)",KNeighborsClassifier(),{'n_neighbors': 5},0.8968931132331115,0.8296875,0.5539978418267892
102,"SMOTE(random_state=42, sampling_strategy=0.5)","LocallyLinearEmbedding(n_components=5, n_jobs=8, n_neighbors=40,
                       random_state=42)",DecisionTreeClassifier(random_state=42),"{'criterion': 'entropy', 'max_depth': 15}",0.7796077772574422,0.784375,0.6136869952659425
103,"SMOTE(random_state=42, sampling_strategy=0.5)","LocallyLinearEmbedding(n_components=5, n_jobs=8, n_neighbors=40,
                       random_state=42)",AdaBoostClassifier(random_state=42),"{'estimator': RandomForestClassifier(random_state=42), 'n_estimators': 10}",0.8753876653786955,0.8140625,0.5801221804511278
104,"SMOTE(random_state=42, sampling_strategy=0.5)","LocallyLinearEmbedding(n_components=5, n_jobs=8, n_neighbors=40,
                       random_state=42)",RandomForestClassifier(random_state=42),"{'criterion': 'entropy', 'max_depth': None}",0.8806455357595648,0.81875,0.5832115009746588
105,"SMOTE(random_state=42, sampling_strategy=0.5)","LocallyLinearEmbedding(n_components=5, n_jobs=8, n_neighbors=40,
                       random_state=42)",BaggingClassifier(random_state=42),"{'estimator': RandomForestClassifier(random_state=42), 'n_estimators': 25}",0.8782150227182608,0.8171875,0.5753446115288221
106,"SMOTE(random_state=42, sampling_strategy=0.5)","LocallyLinearEmbedding(n_components=5, n_jobs=8, n_neighbors=40,
                       random_state=42)",GradientBoostingClassifier(random_state=42),"{'max_depth': 10, 'n_estimators': 50}",0.8463754298975801,0.8078125,0.599850320245057
107,"SMOTE(random_state=42, sampling_strategy=0.5)","LocallyLinearEmbedding(n_components=5, n_jobs=8, n_neighbors=40,
                       random_state=42)",KNeighborsClassifier(),{'n_neighbors': 5},0.8541184400139843,0.7953125,0.5815928710665553
108,"ADASYN(random_state=42, sampling_strategy=0.5)","PCA(n_components=20, random_state=42)",DecisionTreeClassifier(random_state=42),"{'criterion': 'entropy', 'max_depth': None}",0.7644134422081768,0.7828125,0.5963171818434977
